rule_filterlist_Japanese,blocked_etld
||addeluxe.jp^$third-party,1
||aucfan.com/search/nativead_,1
||bluekai.com^$third-party,1
||geniee.jp^$third-party,1
||zyuken.net/ads/,1
||code.usergram.info^,1
||blog.with2.net/ad_frame.php?,1
||dcs.yahoo.co.jp^,1
||iid-network.jp^$third-party,1
||microad.net^$third-party,1
||nikkei.*^*/SC/,1
||jugem.jp/ad/,1
||silveregg.net^$third-party,1
/sibulla/*.js,1
||gamewith.jp/js/dist/jp/search/cta.js,1
||gemius.pl^$third-party,1
||eloqua.com^$third-party,1
||assets-momentum.akamaized.net^,1
||nikkei.com/fh/showad_,1
/adparts/*,1
||livede55.com^$third-party,1
||trackfeed.com^$third-party,1
||alistcloud.com^$third-party,1
||ladsp.com^$third-party,1
||creativecdn.com^$third-party,1
||permutive.com^$third-party,1
||rover.ebay.com^,1
||s.yimg.jp/images/listing/tool/cv/ytag.js,1
||rubiconproject.com^$third-party,1
||google.com/adsense/search/,1
||a8.net^$third-party,1
||tubemogul.com^$third-party,1
||mgstage.com/php/api/widget_affiliate.php,1
||webantenna.info^$third-party,1
||ad-optima.com^$third-party,1
||blog.seesaa.jp/js/insert-ad-legacy.min.js,1
||ezodn.com^,1
||youtube.com/api/stats/qoe?,1
||tr.webantenna.info^,1
||twitter.com/oct.js,1
/tinywidget.min.js,1
||caramel-sp.com/feed/native_,1
||imrworldwide.com^$third-party,1
||youtube.com/ptracking?,1
||tsumanne.net/ad.html,1
||b92.yahoo.co.jp^,1
||docodoco.jp^$third-party,1
||triver.jp^$third-party,1
||adap.tv^$third-party,1
||clicktale.net^$third-party,1
/ad_plugin.js,1
||akiba-souken.com/js/ad_,1
||adtrue.com^$third-party,1
||rlcdn.com^$third-party,1
||cpmstar.com^,1
||afi-b.com^$third-party,1
||anitubu.com/amazon_category/,1
||angel-group.net^$third-party,1
||withnews.jp/assets/js/ad/,1
||fc2.com/css/blog/entry_adult.css,1
||blog.seesaa.jp/js/insert-ad.min.js,1
||skimresources.com^$third-party,1
||munchkin.marketo.net^,1
||extreme-dm.com^$third-party,1
||t.seesaa.net^,1
||game8.jp/assets/pc/ads/,1
||rat.rakuten.co.jp^,1
||sentry.io^$third-party,1
||b91.yahoo.co.jp^,1
||chil-chil.net/banner_img/renta/,1
||adglare.net^$third-party,1
||picb2.com/post/dmm-images/,1
||confiant-integrations.global.ssl.fastly.net^,1
||bidswitch.net^$third-party,1
||bpm.eroterest.net^,1
||zucks.net$third-party,1
||s.yimg.jp/images/listing/tool/cv/conversion.js,1
||trigs-sockets.com^$third-party,1
||remarketingpixel.com^$third-party,1
||teads.tv^$third-party,1
||exoclick.com^$third-party,1
||casalemedia.com^$third-party,1
||doubleclick.net^$third-party,1
||palpis.net/js/blogparts/parts.js,1
||cosp.jp/images/spacer.gif,1
/q/tdl/95/dnt/*,1
||appsflyer.com^$third-party,1
||serving-sys.com^$third-party,1
||tsumanne.net/maniax.js,1
||ma-jin.jp^$third-party,1
||mttag.com^$third-party,1
||pinpointdmp.com^$third-party,1
||caprofitx.com^$third-party,1
||1pondo.tv^$domain=mozakin.com,1
||clipstudio.net^*/banner_,1
||fout.jp^$third-party,1
||accaii.com^$third-party,1
||tsumanne.net/*/dmm.js,1
||cxense.com^$third-party,1
||collector.xhamster.com^,1
||af-110.com^$third-party,1
"||dmm.co.jp/live/api/-/online-banner/?af_id=$third-party,domain=~dmm.com",1
||swcs.jp^$third-party,1
||xfolio.jp/lu_assets/ad.,1
||fwmrm.net^$third-party,1
||bento.agoda.com^,1
||ameba.jp/ameblo/pick/,1
||ad2iction.com^$third-party,1
||ddd-smart.net/ad/,1
||media5.fc2.com^,1
||ptengine.jp^$third-party,1
||contents-search-windows.com^$third-party,1
||realvu.net^$third-party,1
/csi?v=,1
||collector.githubapp.com^,1
||astat.nikkei.com^,1
||figsoku.net/wp/wp-content/themes/figsoku/js/sidefix.min.js,1
||criteo.com^$third-party,1
||itmedia.co.jp^*/ad.js?,1
||manga-mill.com/fanza/,1
||flagcounter.com^$third-party,1
||fivecdm.com^$third-party,1
||openstat.net^$third-party,1
||taxel.jp^$third-party,1
||google.com/adsense/domains,1
||hentaigold.net^$third-party,1
||ebis.ne.jp^$third-party,1
||litix.io^$third-party,1
||asg.to/ad/,1
||pvk.jp^$third-party,1
||gigafile.nu/js/NuMov.js,1
||nikkei.com/.resources/tracking/,1
||yimg.jp/images/listing/tool/yads/,1
||adnxs.com^$third-party,1
||fundingchoicesmessages.google.com$third-party,1
||seoparts.$third-party,1
||revsci.net^$third-party,1
||adsymptotic.com$third-party,1
||gsspcln.jp^,1
||pubmatic.com^$third-party,1
||contx.net/collect.js,1
||nikkei.*^*/SC2/,1
||fourmtagservices.com^$third-party,1
||dlsite.com/js/blogparts.js,1
/ads/native.,1
||clustrmaps.com^$third-party,1
||image-ad.jp^$third-party,1
||cedexis.com^$third-party,1
||shop-pro.jp/li.php?,1
||cnt.fc2web.com^,1
||itmedia.co.jp^*/insert_articles_ad.js,1
||wav.tv/support/adFrame?,1
||nijie.info/js/ad.js?,1
||webtrends.com^$third-party,1
||chartbeat.com^$third-party,1
||aaacompany.net^$third-party,1
/ad-page/dfp.js,1
||drive.google.com/uc?id=1uD4_-rED0rNzxuEcm_yaWclpjN9LmDyK$domain=himado.in,1
||yamap.com/ads|,1
||kakaku.com^*/RdmReviewAd.js,1
||a.vdo.ai^,1
||amoad.com^$third-party,1
||pokoran.com^,1
||tcs-asp.net^$third-party,1
||smartadserver.com^$third-party,1
||3751chat.com/ad/,1
||dmm-rank.com^$third-party,1
||oppai-doga.info/wp-content/themes/opid/html/,1
||hogei.info^,1
||accesstrade.net^$third-party,1
||ero-labs.com^$domain=iwara.tv,1
||clarity.ms^$third-party,1
||adtng.com^$third-party,1
||hs-banner.com^,1
||research-artisan.com^$third-party,1
||nxcount.com^$third-party,1
||ad-cheers.com^$third-party,1
||facebook.com*/impression.php,1
||bugsnag.com^$third-party,1
||adcdn.goo.ne.jp^,1
||revolvermaps.com^$third-party,1
||m-live.jp^$third-party,1
||treasuredata.com^$third-party,1
||angel-live.com^$third-party,1
||livedoor.jp/js/c2.js,1
||reemo-ad.jp$third-party,1
||milk-key.com/ad/,1
||chartbeat.net^$third-party,1
||coremetrics.com^$third-party,1
||nazology.net/wp-content/themes/nazology/js/adb/,1
/acc.php? <+> /acc.cgi?,1
||nikkei.jp^*/f1h_text1.js,1
||quantserve.com^,1
||adultfriendfinder.com^$third-party,1
/blog_ads/*,1
||infotop.$third-party,1
||toplist.cz^$third-party,1
||muragon.com/js/ad-fixed.js?,1
||googleadservices.com^$third-party,1
||mixpanel.com^$third-party,1
||bkrtx.com^$third-party,1
||openx.net^$third-party,1
||okbp.xyz^,1
||tynt.com^$third-party,1
||outbrain.com^$third-party,1
||visiblemeasures.com^$third-party,1
/acc_random=,1
||trafficjunky.net^$third-party,1
||i-mobile.co.jp^$third-party,1
||adlpo.com^$third-party,1
||cosp.jp/inc/ad.js,1
||maps.google.com^*/stats.js,1
||getclicky.com^$third-party,1
||taboola.com^$third-party,1
||eegg.*/js/delay_ad.js?,1
||xhcdn.com/js/track.,1
||im-apps.net^$third-party,1
||nikkei.com/.resources/k-components/rtoaster/,1
||fireworkanalytics.com^$third-party,1
||surfsnow.jp/page/stc/common/2018/js/bnrsys.js,1
||chosunonline.com/common/ifr01/,1
||gcolle.net/v1/blogparts.js,1
||contextweb.com^$third-party,1
||blogroll.livedoor.net/blogroll/banner/,1
||rmp.rakuten.co.jp/js/aa.js$domain=~edy.rakuten.co.jp,1
||excite.co.jp/jp/ox/,1
||tv-tokyo.co.jp/tbcms/javascripts/ad.js,1
||mbadw.nan.co.jp^,1
||mc.yandex.ru^,1
||adsafeprotected.com^$third-party,1
||c.microsoft.com^,1
||caribbeancom.com^$third-party,1
||linksynergy.com^$third-party,1
||apvdr.com^$third-party,1
||kyunto.com/ad/,1
||medleyads.com^$third-party,1
||asageifuzoku.com/img*/top_,1
||roy-union.com^$third-party,1
||tampermonkey.net/s.js?$domain=userscript.zone,1
||ameblo.jp/_api/mypick;,1
||kabutan.jp/js/rand_ads.js?,1
||analysis.shinobi.jp/ninja_ar/,1
||amazon-adsystem.com^$third-party,1
||kyunto.com/af/,1
||contentsfeed.com^$third-party,1
||monitor.azure.com^,1
||jword.jp^$third-party,1
||appollo-plus.com^$third-party,1
||streamtape.com/adgpt.js,1
||dlpo.jp^$third-party,1
||j-live.tv^$third-party,1
||oppai-doga.info/wp-content/themes/opid/js/pcad.,1
||aff.jskyservices.com^,1
||gsspat.jp^$third-party,1
||trafficgate.net^$third-party,1
||fc2.com/share/image/banner_,1
||pzd.rakuten.co.jp^,1
||socdm.com^$third-party,1
||ad-spire.net^$third-party,1
||rd.rakuten.co.jp^$third-party,1
||chango.com^$third-party,1
||mcnt.jp^$third-party,1
||myoji-yurai.net/images/banner/,1
||labaq.com/user/json/lq_amarray.js?,1
||events.statsigapi.net^,1
||popads.net^$third-party,1
||cloudflareinsights.com^,1
||j-a-net.jp^$third-party,1
||primead.jp$third-party,1
||twicomi.com/ads/,1
||line-scdn.net^*/torimochi.js,1
||ias.rakuten.co.jp^$domain=~event.rakuten.co.jp|~ias.rakuten.co.jp|~search.rakuten.co.jp,1
||i2ad.jp^,1
||nend.net^$third-party,1
||datasign.co^$third-party,1
||mangaz.com/js/ad_fix.js?,1
/dcw.cgi?,1
||mobylog.jp^$third-party,1
||news.livedoor.com/js/ads.,1
||browsiprod.com^$third-party,1
||moatads.com^$third-party,1
||revcontent.com^$third-party,1
||demandbase.com^$third-party,1
||quant.jp^$third-party,1
||xml.affiliate.rakuten.co.jp^$third-party,1
||inpagepush.com^$important,1
||kissmetrics.com^$third-party,1
||addthisedge.com^$third-party,1
||adingo.jp$third-party,1
||adsco.re^$third-party,1
||geo.yahoo.com^,1
||srtb.msn.com^,1
||lngtd.com^$third-party,1
||admatrix.jp$third-party,1
||kakaku.k-img.com^*/ad/,1
||users.51.la^$third-party,1
||e-nls.com/pict_af/,1
||f-tra.com^$third-party,1
||owneriq.net^$third-party,1
||kaiu-marketing.com^$third-party,1
||solutionshindsight.net^$third-party,1
||mgstage.com/js/mgs_Widget,1
||square-enix.com/common/templates/js/ad/,1
||deployads.com^$third-party,1
||deqwas.net^,1
||polymorphicads.jp^$third-party,1
||crwdcntrl.net^$third-party,1
||famitsu.com^*/amazon_ranking.js,1
||rcm.shinobi.jp^,1
||twitter.com/i/jot,1
||fam-8.net^$third-party,1
/lunalys/analyzer/*,1
||yadro.ru^$third-party,1
||etahub.com^$third-party,1
||macromill.com^$third-party,1
||octopuspop.com^$third-party,1
||amung.us^$third-party,1
||bongacams.com^,1
||b97.yahoo.co.jp,1
||eromovie-s.com/feed/,1
/javascript/fropo.js,1
||mieru-ca.com^$third-party,1
||woopra.com^$third-party,1
||e-click.jp^$third-party,1
||puhtml.com^$third-party,1
||mapion.co.jp*/adOverture/,1
||milk-key.com/af/,1
||estat.com^$third-party,1
||chil-chil.net/restGetAdBanner/,1
||jma.go.jp/bosai/ad/,1
||townnews.co.jp/js/entry_advertising.js,1
||ekispert.net/assets/adRequest-,1
||rfihub.com^$third-party,1
||msn.com/onecollector/,1
||mediaplex.com^$third-party,1
||scorecardresearch.com^$third-party,1
||media6degrees.com^$third-party,1
||2o7.net^$third-party,1
||ziyu.net^$third-party,1
||exelator.com^$third-party,1
||hs-analytics.net,1
||analyticsip.net^$third-party,1
||lvtag.com^$third-party,1
||checkm8.com^$third-party,1
||i2iserv.com^$third-party,1
||blozoo.info/js/inouttool/blogparts.js,1
||minnano-*.com/top_center_bn/,1
||x-lift.jp^$third-party,1
||amebaowndme.com^*/pureAds|,1
||a-affiliate.net^$third-party,1
||trafficfactory.biz^$third-party,1
||scadnet.com^$third-party,1
||v2st.shinobi.jp^,1
||adswizz.com^$third-party,1
||udmserve.net/udm/,1
||vizury.com^$third-party,1
||kok.eroterest.net^,1
||new-adtest.pages.dev^$third-party,1
||dynamic.rakuten.co.jp^,1
||homemate-research.com/js/ad/,1
||estar.jp/assets/js/ad/,1
||d2-apps.net^$third-party,1
||youborafds01.com^$third-party,1
||bmmetrix.com^$third-party,1
||equity.jiji.com/storage/banner/,1
||tenhou.net/ad2.js,1
||see.xxx/nr.js,1
||newrelic.com^$third-party,1
||tyrellsys.com^$third-party,1
||o333o.com^$third-party,1
||google.com/pagead/,1
||ca-mpr.jp^$third-party,1
||tracer.jp^,1
||juicer.cc^$third-party,1
||proparm.jp^$third-party,1
||matomedane.jp/js/adv/,1
||ax.xrea.com^,1
||s-onetag.com^$third-party,1
||fc2.com/ana/,1
||adplan7.com^$third-party,1
||xiti.com^$third-party,1
||reajyu.net^$third-party,1
||mtburn.com^$third-party,1
/ac.php?,1
||yjtag.jp^,1
||sitest.jp^$third-party,1
||i-section.net/ranklet/$third-party,1
||yahoo-mbga.jp/ad/,1
||adm.shinobi.jp^,1
||logly.co.jp^$third-party,1
||popmyads.com^$third-party,1
||ad-nex.com^$third-party,1
||aimg.fc2.com^,1
||yanmaga.jp/viewer/banner.html,1
||textad.net^$third-party,1
||townnews.co.jp/entry_ad.json?,1
||pixel.wp.com^,1
||unrulymedia.com^$third-party,1
||spotxchange.com^$third-party,1
||l.typesquare.com^,1
||anymind360.com^$third-party,1
||itmedia.jp/adsv/,1
||wanchan.jp/js/text_ad.js,1
||jalan.net/js/segmentContentsAdDisp.js,1
||eisys-bcs.jp^$third-party,1
||github.com/_private/browser/stats,1
||st-hatena.com/valve/,1
||solty.biz^$third-party,1
/A-affiliate2/*,1
||propellerclick.com^$third-party,1
||atype.jp^$third-party,1
||gdm.or.jp/bimg/b,1
||indexww.com^$third-party,1
||ads.nicovideo.jp^,1
||webtracker.jp^$third-party,1
||amazonaws.com/affiliate-img.docomo.ne.jp/banner/$third-party,1
||daily.jp/Koukoku/,1
||adxbid.info^$third-party,1
||dmm.com/af/,1
||trackonomics.net^$third-party,1
||advertserve.$third-party,1
||lamp-shade.net^,1
||twitter.com^*/videoads/,1
||nicovideo.jp/api/v1/watch/*/playerbanner|,1
||azlink.sakuratan.biz^,1
||tapad.com^$third-party,1
||rakuten-static.com/1/grp/banner/js/create.js,1
||vortex.data.microsoft.com^,1
/adloader.,1
||livejasmin.com^$third-party,1
||eegg.*/js/ad6.js?,1
||pop6.com^$third-party,1
||nkis.nikkei.com^,1
||ero-advertising.com^$third-party,1
||eegg.*/ad_html/,1
||adcent.jp^$third-party,1
||adtest.pages.dev^$third-party,1
||pacopacomama.com$domain=mozakin.com,1
||thebrighttag.com^$third-party,1
||nakanohito.jp^$third-party,1
||demand.supply^$third-party,1
||focas.jp^$third-party,1
||criteo.net^$third-party,1
||dmm.co.jp/af/,1
||10musume.com^$domain=mozakin.com,1
||ero-video.net/advert/*,1
||log000.goo.ne.jp^,1
||optimizely.com^$third-party,1
||pos.baidu.com^,1
||adapf.com^$third-party,1
||t.blog.livedoor.jp^,1
||moshimo.com^$third-party,1
/s/s/js/m/push.js?,1
||stats.wp.com^,1
||cnzz.com^$third-party,1
||viglink.com^$third-party,1
||muragon.com/js/replace-afp-ad.js?,1
||onesignal.com^$third-party,1
||statcounter.com^$third-party,1
||mxpnl.com^$third-party,1
||googletagmanager.com^,1
||xn--jx2a33n.com/nnn.js$domain=realtime-chart.info|sekai-kabuka.com,1
||excite.co.jp/jp/ad/,1
||zyuken.net/juku_page/ads/,1
||speee-ad.akamaized.net^,1
||illustrious-halva-eb1986.netlify.app^$domain=iwara.tv,1
||nimg.jp/web/scripts/common/tracking/google_analytics.js?,1
||amplitude.com^$third-party,1
||chil-chil.net/cpAdShow/,1
||gwallet.com^$third-party,1
||vis1.shinobi.jp^,1
||jalan.net/jalan/doc/ad/,1
||themediaplanets.com^$third-party,1
||mathtag.com^$third-party,1
||hotjar.com^$third-party,1
||adskeeper.com^$third-party,1
||bing.com/fd/ls/lsp.aspx,1
/dsw.cgi?,1
||atdmt.com^$third-party,1
||yads.yahoo.co.jp^,1
||hananokai.tv^$third-party,1
||fc2.com/static/video/js/plr/tg/,1
/clog_ad.js,1
||krxd.net^$third-party,1
||afl.rakuten.co.jp^$third-party,1
||rentracks.jp^$third-party,1
||ad-stir.com^$third-party,1
||b0.yahoo.co.jp^,1
||dl-rms.com^$third-party,1
||metrics.brightcove.com^,1
||yimg.jp/images/advertising/,1
||tgknt.com^$third-party,1
||trustclick.ne.jp^$third-party,1
||fastclick.net^$third-party,1
||xlisting.jp^$third-party,1
||k-crm.jp/tracking.js,1
||alcmpn.com^$third-party,1
||userscript.zone/s.js?$domain=userscript.zone,1
||genieedmp.com^$third-party,1
||tf1.fr^$third-party,1
||fwpixel.com^$third-party,1
||exosrv.com^$third-party,1
||eco-tag.jp^$third-party,1
||adsrvr.org^$third-party,1
||i2i.jp^$third-party,1
||taggyad.jp^$third-party,1
||api.primecaster.net^,1
